raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,18,43,4,1:27.073,87073.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.073000
84,18,44,4,1:26.121,86121.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.121000
84,18,45,4,1:25.942,85942.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.942000
84,18,46,4,1:26.061,86061.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.061000
84,18,47,4,1:27.218,87218.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:27.218000
84,18,48,5,1:45.689,105689.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:45.689000
84,18,49,5,1:26.161,86161.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.161000
84,18,50,5,1:25.931,85931.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.931000
84,18,51,5,1:25.861,85861.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.861000
84,18,52,5,1:25.809,85809.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.809000
84,18,53,5,1:25.851,85851.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.851000
84,18,54,5,1:26.015,86015.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.015000
84,18,55,5,1:26.180,86180.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.180000
84,18,56,5,1:26.325,86325.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.325000
84,18,57,5,1:26.074,86074.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:26.074000
84,18,58,5,1:25.790,85790.0,BAR,16,2005,Turkish GP 2005,button,0 days 00:01:25.790000
84,11,1,19,1:47.902,107902.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:47.902000
84,11,2,18,1:32.013,92013.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:32.013000
84,11,3,18,1:31.366,91366.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:31.366000
84,11,4,17,1:31.293,91293.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:31.293000
84,11,5,17,1:31.716,91716.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:31.716000
84,11,6,14,1:31.706,91706.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:31.706000
84,11,7,13,1:31.060,91060.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:31.060000
84,11,8,13,1:29.148,89148.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:29.148000
84,11,9,12,1:30.067,90067.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:30.067000
84,11,10,11,1:29.446,89446.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:29.446000
84,11,11,11,1:29.125,89125.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:29.125000
84,11,12,11,1:28.473,88473.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.473000
84,11,13,11,1:27.996,87996.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.996000
84,11,14,11,1:28.155,88155.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:28.155000
84,11,15,10,1:27.597,87597.0,BAR,16,2005,Turkish GP 2005,sato,0 days 00:01:27.597000
